נתוני שערים - קסם קרנות נאמנות בע"מ - קסם.תא בנקים,,,
נכון ל- 11/11/2020
תאריך,שער נעילה מתואם(באגורות),שער נעילה (באגורות), מחזור(אלפי ₪)
11/11/2020,17950.0000,17950.0000,5750.00
10/11/2020,17780.0000,17780.0000,21030.92
09/11/2020,17330.0000,17330.0000,34513.61
08/11/2020,16780.0000,16780.0000,3296.79
05/11/2020,16840.0000,16840.0000,2548.04
04/11/2020,16700.0000,16700.0000,2241.07
03/11/2020,16470.0000,16470.0000,1865.44
02/11/2020,16280.0000,16280.0000,1707.74
01/11/2020,16390.0000,16390.0000,2459.70
29/10/2020,16080.0000,16080.0000,3989.16
28/10/2020,15840.0000,15840.0000,5313.79
27/10/2020,16460.0000,16460.0000,2996.14
26/10/2020,16690.0000,16690.0000,10461.18
25/10/2020,16950.0000,16950.0000,7299.48
22/10/2020,16490.0000,16490.0000,20017.38
21/10/2020,16120.0000,16120.0000,3255.98
20/10/2020,16080.0000,16080.0000,5521.02
19/10/2020,16260.0000,16260.0000,3852.97
18/10/2020,16500.0000,16500.0000,2437.11
15/10/2020,16380.0000,16380.0000,4562.12
14/10/2020,16530.0000,16530.0000,20141.76
13/10/2020,16190.0000,16190.0000,10763.52
12/10/2020,16340.0000,16340.0000,17744.44
11/10/2020,16230.0000,16230.0000,5975.76
08/10/2020,16280.0000,16280.0000,4191.98
07/10/2020,16140.0000,16140.0000,3426.73
06/10/2020,16030.0000,16030.0000,9673.90
05/10/2020,15940.0000,15940.0000,4168.13
04/10/2020,15620.0000,15620.0000,4576.23
01/10/2020,15270.0000,15270.0000,7619.20
30/09/2020,15000.0000,15000.0000,13811.69
29/09/2020,14900.0000,14900.0000,13442.03
24/09/2020,14740.0000,14740.0000,33490.58
23/09/2020,14930.0000,14930.0000,8278.17
22/09/2020,15340.0000,15340.0000,6068.82
21/09/2020,15540.0000,15540.0000,46974.62
17/09/2020,15760.0000,15760.0000,4753.18
16/09/2020,15780.0000,15780.0000,3233.62
15/09/2020,16050.0000,16050.0000,3832.61
14/09/2020,16110.0000,16110.0000,3551.49
13/09/2020,15840.0000,15840.0000,4591.55
10/09/2020,15620.0000,15620.0000,8119.28
09/09/2020,15990.0000,15990.0000,3241.07
08/09/2020,16150.0000,16150.0000,2623.14
07/09/2020,16340.0000,16340.0000,1960.19
06/09/2020,16400.0000,16400.0000,3762.93
03/09/2020,16370.0000,16370.0000,5260.92
02/09/2020,16930.0000,16930.0000,3806.57
01/09/2020,17010.0000,17010.0000,4434.66
31/08/2020,16990.0000,16990.0000,3482.51
30/08/2020,17430.0000,17430.0000,1788.71
27/08/2020,17320.0000,17320.0000,4759.75
26/08/2020,17200.0000,17200.0000,3460.51
25/08/2020,16910.0000,16910.0000,2554.68
24/08/2020,16950.0000,16950.0000,1754.12
23/08/2020,17050.0000,17050.0000,1346.33
20/08/2020,16680.0000,16680.0000,3013.98
19/08/2020,17060.0000,17060.0000,2212.16
18/08/2020,17340.0000,17340.0000,2622.25
17/08/2020,17040.0000,17040.0000,3044.05
16/08/2020,17070.0000,17070.0000,4323.95
13/08/2020,16870.0000,16870.0000,6752.33
12/08/2020,17100.0000,17100.0000,2990.76
11/08/2020,16680.0000,16680.0000,3487.60
10/08/2020,16490.0000,16490.0000,3011.49
09/08/2020,16550.0000,16550.0000,1978.94
06/08/2020,16350.0000,16350.0000,4809.49
05/08/2020,16430.0000,16430.0000,9691.06
04/08/2020,16460.0000,16460.0000,6684.81
03/08/2020,16750.0000,16750.0000,3158.99
02/08/2020,16810.0000,16810.0000,2637.63
29/07/2020,16850.0000,16850.0000,27198.15
28/07/2020,16720.0000,16720.0000,41175.35
27/07/2020,16740.0000,16740.0000,30618.66
26/07/2020,16860.0000,16860.0000,15327.71
23/07/2020,16880.0000,16880.0000,2170.99
22/07/2020,16990.0000,16990.0000,3654.75
21/07/2020,17050.0000,17050.0000,5878.48
20/07/2020,17060.0000,17060.0000,6406.94
19/07/2020,17150.0000,17150.0000,762.57
16/07/2020,17190.0000,17190.0000,4004.86
15/07/2020,17470.0000,17470.0000,4701.63
14/07/2020,17250.0000,17250.0000,8139.10
13/07/2020,17600.0000,17600.0000,4712.83
12/07/2020,17820.0000,17820.0000,8193.58
09/07/2020,17480.0000,17480.0000,5941.80
08/07/2020,17760.0000,17760.0000,6665.34
07/07/2020,18020.0000,18020.0000,8390.64
06/07/2020,18030.0000,18030.0000,37070.51
05/07/2020,17430.0000,17430.0000,8076.04
02/07/2020,18060.0000,18060.0000,9134.70
01/07/2020,17680.0000,17680.0000,66489.65
30/06/2020,16820.0000,16820.0000,5900.64
29/06/2020,17040.0000,17040.0000,7853.27
28/06/2020,17120.0000,17120.0000,4368.89
25/06/2020,17460.0000,17460.0000,13797.94
24/06/2020,17120.0000,17120.0000,14660.05
23/06/2020,17140.0000,17140.0000,12901.34
22/06/2020,17390.0000,17390.0000,7279.10
21/06/2020,17690.0000,17690.0000,11488.38
18/06/2020,18000.0000,18000.0000,7181.06
17/06/2020,18380.0000,18380.0000,4376.97
16/06/2020,18660.0000,18660.0000,5570.70
15/06/2020,18380.0000,18380.0000,4535.23
14/06/2020,18650.0000,18650.0000,3651.87
11/06/2020,18780.0000,18780.0000,7915.97
10/06/2020,19160.0000,19160.0000,5868.02
09/06/2020,18920.0000,18920.0000,12574.88
08/06/2020,18840.0000,18840.0000,13733.57
04/06/2020,18040.0000,18040.0000,3580.05
03/06/2020,17960.0000,17960.0000,14052.67
02/06/2020,17660.0000,17660.0000,15347.43
01/06/2020,17610.0000,17610.0000,16819.55
31/05/2020,17510.0000,17510.0000,12013.59
27/05/2020,17930.0000,17930.0000,10079.04
26/05/2020,17890.0000,17890.0000,7788.00
25/05/2020,17980.0000,17980.0000,5953.99
24/05/2020,17990.0000,17990.0000,4668.37
21/05/2020,17740.0000,17740.0000,9554.42
20/05/2020,18130.0000,18130.0000,8910.27
19/05/2020,17970.0000,17970.0000,8525.16
18/05/2020,17680.0000,17680.0000,9651.66
17/05/2020,17210.0000,17210.0000,5737.72
14/05/2020,16860.0000,16860.0000,15789.15
13/05/2020,17630.0000,17630.0000,9469.29
12/05/2020,18280.0000,18280.0000,44677.45
11/05/2020,18600.0000,18600.0000,10823.84
10/05/2020,18900.0000,18900.0000,13324.48
07/05/2020,18680.0000,18680.0000,9134.39
06/05/2020,18650.0000,18650.0000,13567.52
05/05/2020,18530.0000,18530.0000,11506.42
04/05/2020,18260.0000,18260.0000,9039.36
03/05/2020,18640.0000,18640.0000,6895.78
30/04/2020,18840.0000,18840.0000,22477.01
27/04/2020,18830.0000,18830.0000,9942.46
26/04/2020,18840.0000,18840.0000,12713.41
23/04/2020,18120.0000,18120.0000,6186.36
22/04/2020,17750.0000,17750.0000,4834.82
21/04/2020,17510.0000,17510.0000,12936.39
20/04/2020,18090.0000,18090.0000,11663.46
19/04/2020,18410.0000,18410.0000,8292.25
16/04/2020,16960.0000,16960.0000,11786.51
13/04/2020,17620.0000,17620.0000,7643.80
12/04/2020,17790.0000,17790.0000,12307.40
07/04/2020,17380.0000,17380.0000,17920.85
06/04/2020,16900.0000,16900.0000,7159.70
05/04/2020,16670.0000,16670.0000,7381.50
02/04/2020,17150.0000,17150.0000,11549.69
01/04/2020,17300.0000,17300.0000,10338.45
31/03/2020,18050.0000,18050.0000,13823.35
30/03/2020,17630.0000,17630.0000,20264.26
29/03/2020,17440.0000,17440.0000,8871.68
26/03/2020,17360.0000,17360.0000,14337.47
25/03/2020,16780.0000,16780.0000,20557.29
24/03/2020,16810.0000,16810.0000,19905.60
23/03/2020,15200.0000,15200.0000,19349.11
22/03/2020,15490.0000,15490.0000,16076.18
19/03/2020,16820.0000,16820.0000,25424.44
18/03/2020,15460.0000,15460.0000,17316.70
17/03/2020,16300.0000,16300.0000,13264.85
16/03/2020,16580.0000,16580.0000,14597.15
15/03/2020,17810.0000,17810.0000,18378.76
12/03/2020,17710.0000,17710.0000,26524.83
11/03/2020,18010.0000,18010.0000,19851.39
09/03/2020,19190.0000,19190.0000,59286.06
08/03/2020,20200.0000,20200.0000,27825.18
05/03/2020,20910.0000,20910.0000,11969.99
04/03/2020,21510.0000,21510.0000,6243.53
03/03/2020,22430.0000,22430.0000,4194.93
01/03/2020,21750.0000,21750.0000,10732.43
27/02/2020,22390.0000,22390.0000,4541.43
26/02/2020,23020.0000,23020.0000,6409.26
25/02/2020,22820.0000,22820.0000,3280.89
24/02/2020,22700.0000,22700.0000,19398.01
23/02/2020,23010.0000,23010.0000,25473.60
20/02/2020,23400.0000,23400.0000,1628.66
19/02/2020,23620.0000,23620.0000,1673.71
18/02/2020,23420.0000,23420.0000,2928.69
17/02/2020,23670.0000,23670.0000,3186.08
16/02/2020,23640.0000,23640.0000,2391.46
13/02/2020,23470.0000,23470.0000,2752.55
12/02/2020,23470.0000,23470.0000,1973.45
11/02/2020,23650.0000,23650.0000,2319.54
10/02/2020,23330.0000,23330.0000,2980.34
09/02/2020,23550.0000,23550.0000,2714.21
06/02/2020,23930.0000,23930.0000,2259.56
05/02/2020,23730.0000,23730.0000,4458.51
04/02/2020,23700.0000,23700.0000,3058.35
03/02/2020,23600.0000,23600.0000,29165.05
02/02/2020,23830.0000,23830.0000,21253.70
30/01/2020,24100.0000,24100.0000,5686.48
29/01/2020,23850.0000,23850.0000,8635.77
28/01/2020,23860.0000,23860.0000,2722.13
27/01/2020,23760.0000,23760.0000,9196.35
26/01/2020,24040.0000,24040.0000,3401.40
23/01/2020,24100.0000,24100.0000,1958.56
22/01/2020,24010.0000,24010.0000,24443.71
21/01/2020,23830.0000,23830.0000,3666.79
20/01/2020,23820.0000,23820.0000,1004.96
19/01/2020,23900.0000,23900.0000,11762.72
16/01/2020,23740.0000,23740.0000,11591.25
15/01/2020,23660.0000,23660.0000,14600.47
14/01/2020,23840.0000,23840.0000,5535.76
13/01/2020,23830.0000,23830.0000,6907.07
12/01/2020,23910.0000,23910.0000,1747.63
09/01/2020,23960.0000,23960.0000,3385.12
08/01/2020,23840.0000,23840.0000,2159.37
07/01/2020,23890.0000,23890.0000,2099.26
06/01/2020,24030.0000,24030.0000,2813.10
05/01/2020,24170.0000,24170.0000,1909.00
02/01/2020,24240.0000,24240.0000,1448.38
01/01/2020,24000.0000,24000.0000,1357.51
31/12/2019,23880.0000,23880.0000,1359.91
30/12/2019,23870.0000,23870.0000,2005.94
29/12/2019,23800.0000,23800.0000,13372.88
26/12/2019,23820.0000,23820.0000,2127.23
25/12/2019,23830.0000,23830.0000,3055.30
24/12/2019,23700.0000,23700.0000,3222.17
23/12/2019,23270.0000,23270.0000,2057.65
22/12/2019,23480.0000,23480.0000,1352.63
19/12/2019,23540.0000,23540.0000,7776.04
18/12/2019,23580.0000,23580.0000,11243.06
17/12/2019,23670.0000,23670.0000,7896.29
16/12/2019,23500.0000,23500.0000,2899.12
15/12/2019,23640.0000,23640.0000,2289.60
12/12/2019,23550.0000,23550.0000,1637.95
11/12/2019,23620.0000,23620.0000,2026.15
10/12/2019,23560.0000,23560.0000,1188.24
09/12/2019,23530.0000,23530.0000,698.62
08/12/2019,23600.0000,23600.0000,1758.23
05/12/2019,23270.0000,23270.0000,1003.98
04/12/2019,23260.0000,23260.0000,7020.77
03/12/2019,23190.0000,23190.0000,10067.95
02/12/2019,23300.0000,23300.0000,2105.63
01/12/2019,23630.0000,23630.0000,1918.69
28/11/2019,23790.0000,23790.0000,9623.32
27/11/2019,23220.0000,23220.0000,4830.85
26/11/2019,23060.0000,23060.0000,14436.43
25/11/2019,23010.0000,23010.0000,1096.90
24/11/2019,23250.0000,23250.0000,1650.19
21/11/2019,23250.0000,23250.0000,3524.40
20/11/2019,23480.0000,23480.0000,3007.47
19/11/2019,23640.0000,23640.0000,16582.97
18/11/2019,23730.0000,23730.0000,5443.60
17/11/2019,23880.0000,23880.0000,1904.25
14/11/2019,23640.0000,23640.0000,1288.33
13/11/2019,23600.0000,23600.0000,1060.70
12/11/2019,23730.0000,23730.0000,2442.58
