נתוני שערים - הראל קרנות נאמנות בע"מ - הרל.תא בנקים,,,
נכון ל- 12/11/2020
תאריך,שער נעילה מתואם(באגורות),שער נעילה (באגורות), מחזור(אלפי ₪)
12/11/2020,1796.0000,1796.0000,8876.56
11/11/2020,1850.0000,1850.0000,12723.32
10/11/2020,1835.0000,1835.0000,37975.83
09/11/2020,1787.0000,1787.0000,70463.95
08/11/2020,1723.0000,1723.0000,9380.44
05/11/2020,1730.0000,1730.0000,26639.97
04/11/2020,1713.0000,1713.0000,28428.09
03/11/2020,1698.0000,1698.0000,29016.31
02/11/2020,1684.0000,1684.0000,6070.08
01/11/2020,1691.0000,1691.0000,4845.31
29/10/2020,1662.0000,1662.0000,4495.21
28/10/2020,1633.0000,1633.0000,6162.44
27/10/2020,1692.0000,1692.0000,5827.35
26/10/2020,1719.0000,1719.0000,7511.48
25/10/2020,1746.0000,1746.0000,5951.23
22/10/2020,1698.0000,1698.0000,3811.20
21/10/2020,1659.0000,1659.0000,8936.03
20/10/2020,1653.0000,1653.0000,9577.09
19/10/2020,1675.0000,1675.0000,8103.10
18/10/2020,1697.0000,1697.0000,5922.10
15/10/2020,1687.0000,1687.0000,9917.60
14/10/2020,1703.0000,1703.0000,5121.28
13/10/2020,1663.0000,1663.0000,6875.24
12/10/2020,1684.0000,1684.0000,6111.71
11/10/2020,1671.0000,1671.0000,5556.98
08/10/2020,1677.0000,1677.0000,4765.71
07/10/2020,1664.0000,1664.0000,3753.08
06/10/2020,1656.0000,1656.0000,6803.84
05/10/2020,1642.0000,1642.0000,7450.97
04/10/2020,1604.0000,1604.0000,8592.09
01/10/2020,1575.0000,1575.0000,5517.89
30/09/2020,1554.0000,1554.0000,27850.39
29/09/2020,1546.0000,1546.0000,22927.51
24/09/2020,1515.0000,1515.0000,17673.87
23/09/2020,1542.0000,1542.0000,10720.25
22/09/2020,1579.0000,1579.0000,6043.28
21/09/2020,1600.0000,1600.0000,4947.84
17/09/2020,1625.0000,1625.0000,4368.91
16/09/2020,1624.0000,1624.0000,5394.65
15/09/2020,1659.0000,1659.0000,6567.68
14/09/2020,1663.0000,1663.0000,5440.23
13/09/2020,1622.0000,1622.0000,6026.05
10/09/2020,1615.0000,1615.0000,22655.16
09/09/2020,1647.0000,1647.0000,6695.36
08/09/2020,1662.0000,1662.0000,45891.98
07/09/2020,1678.0000,1678.0000,4978.45
06/09/2020,1688.0000,1688.0000,5089.34
03/09/2020,1688.0000,1688.0000,9263.69
02/09/2020,1743.0000,1743.0000,7117.65
01/09/2020,1749.0000,1749.0000,5259.00
31/08/2020,1751.0000,1751.0000,7263.71
30/08/2020,1796.0000,1796.0000,1763.49
27/08/2020,1783.0000,1783.0000,7623.17
26/08/2020,1767.0000,1767.0000,2257.99
